business_center,zipcode_trimmed
0,99515
0,99701
0,99801
0,99508
0,35244
0,35801
0,36606
0,36117
0,72223
0,85392
0,85050
0,85226
0,85233
0,85308
0,85209
0,85027
0,85741
0,85032
1,85017
0,86301
0,85295
0,85713
0,85260
0,85388
0,85284
0,85008
0,85712
0,91803
0,95118
0,94509
0,91702
0,93308
0,91506
1,91605
0,95815
0,92011
0,92128
0,95928
0,91709
0,91911
0,95621
0,91748
0,93612
1,90040
0,94520
0,92879
0,90292
0,90720
0,94526
0,91752
0,94080
0,92243
0,95757
0,95501
0,94534
0,95630
0,92336
0,94404
0,92708
0,94538
0,93722
0,92832
0,92843
0,95020
0,93117
0,95119
0,93230
0,90250
1,90250
0,94545
1,94541
0,92647
0,90303
0,92618
0,90631
0,91942
0,92253
0,92677
0,92677
0,92532
0,90712
0,93534
0,94551
0,95240
0,90039
0,95337
0,95340
0,92108
0,95356
0,91763
0,91755
0,92117
0,92553
0,94043
0,93720
0,95131
0,91324
0,90650
0,94945
1,91761
0,93036
0,91331
0,92211
0,92064
0,95742
0,91730
0,91910
0,96003
0,94063
0,94804
0,94928
0,95678
0,94080
1,94080
0,92102
0,93313
0,95823
1,95821
0,93907
0,92408
1,92111
0,91773
0,94103
0,95112
1,95122
0,92675
0,94577
0,93405
0,92069
0,92078
0,93955
0,95050
0,91387
0,95060
0,93454
0,95407
0,92071
0,90755
0,93065
0,95210
0,94086
0,92591
0,90505
0,95304
0,95380
0,92782
0,92782
0,95482
0,95687
0,94591
0,91411
0,92395
0,93277
0,92081
0,91362
1,92683
0,95776
0,91367
0,92887
0,80002
0,80012
1,80223
0,80124
0,80922
0,81637
0,80138
0,80123
0,80110
0,80027
0,80023
0,80547
0,80918
0,80031
0,06804
0,06333
0,06082
0,06460
0,06053
0,06854
0,6074
0,06705
0,20018
0,19702
0,32714
0,33487
0,34212
0,33511
0,33759
0,33076
0,33324
0,32246
0,32792
0,33913
0,33907
0,33186
0,33462
0,32940
0,33144
0,33014
0,33181
0,34109
1,32837
0,33403
0,33027
0,33064
0,33411
0,32839
0,34238
0,32317
0,32244
0,33625
0,33559
0,30004
0,30909
0,30319
0,30339
0,30041
0,30157
0,30736
0,30096
0,30519
1,30260
0,30328
0,31322
0,30277
0,30144
0,30188
0,96825
0,96817
0,96707
0,96766
0,96740
0,96732
0,96797
0,52241
0,52807
0,50266
0,83709
0,83815
0,83401
0,83646
0,83687
0,83201
0,83301
1,60629
0,60108
0,60440
0,61820
0,60608
0,61611
0,60026
0,60156
0,60047
0,60614
0,61111
0,60160
0,60045
0,60056
0,60563
0,60564
0,60714
0,60546
0,60523
0,60467
0,60586
0,60173
0,60174
0,46123
0,46250
0,47715
0,46808
0,46268
0,46410
0,46530
0,46237
0,66215
0,66213
0,67207
0,41042
0,40509
0,40218
0,40241
0,70809
0,70508
0,70118
0,02322
0,01923
0,02026
0,02149
0,02451
0,01089
0,21076
0,20705
0,20613
0,21075
0,21704
0,20879
0,21060
0,21117
0,20902
0,21220
0,20706
0,21076
0,20705
0,20613
0,21075
0,21704
0,20879
0,21060
0,21117
0,20902
0,21220
0,20706
0,48326
0,48302
0,48390
0,48823
0,49512
0,48116
0,48152
0,49006
0,48315
0,48071
0,48150
0,48642
0,48108
0,48066
0,49686
0,49418
0,56425
0,55337
0,55448
0,55811
0,55121
0,55344
0,55369
0,55109
1,55413
0,55901
0,56301
0,55416
0,55125
0,64055
0,64111
0,63011
0,64155
0,63128
0,65802
0,63376
0,39157
0,59102
0,59718
0,59602
0,59901
0,59808
0,27523
0,28217
0,27705
0,27603
0,27407
0,28105
0,28117
0,27609
0,28405
0,27103
0,58503
0,58078
0,68128
0,68512
0,68154
0,03060
0,7002
0,08723
0,08807
0,08002
0,07014
0,07936
0,08817
0,08822
1,07601
0,07730
0,08050
0,07751
0,08054
0,08902
0,07060
0,07712
0,08648
0,07608
0,07083
0,07470
0,07885
0,87107
0,87114
0,87123
0,89705
0,89131
0,89014
1,89106
0,89502
0,89052
0,89436
0,89144
0,11232
0,11725
0,11741
0,11559
0,10035
0,11747
0,10954
0,11767
0,10805
0,11572
0,10573
0,11106
0,11374
0,11901
0,14620
0,10314
0,13031
0,11590
0,10710
0,44011
0,44236
0,45440
0,43240
0,45249
0,43219
0,44124
0,43064
0,43551
0,45246
0,44136
0,43606
0,73160
0,73114
0,74133
0,97322
0,97006
0,97701
0,97502
0,97015
0,97408
0,97124
0,97230
0,97470
0,97301
0,97223
0,97146
0,97070
0,18106
0,18974
0,19342
0,16066
0,17112
0,15120
0,19406
0,17601
0,19454
0,15205
0,19464
0,00725
0,00924
0,959
0,961
0,00725
0,00924
0,959
0,961
0,29414
0,29210
0,29607
0,29466
0,29577
0,29301
0,57105
0,37027
0,37934
0,37128
0,38016
0,38125
0,37209
0,76014
0,78759
0,77055
0,78613
0,77433
0,75251
1,75231
0,75137
0,75074
0,79925
0,76132
0,75033
0,77027
0,77338
0,75067
0,79407
0,75071
0,76177
0,78249
0,77584
0,78660
0,78577
0,75032
0,78749
0,78154
0,78232
0,76092
1,77477
0,77479
0,77494
0,75093
0,78245
0,77598
0,77064
0,77385
0,84010
0,84043
0,84107
0,84097
0,84096
1,84115
0,84070
0,84045
0,84095
0,84405
0,84660
0,84790
0,84119
0,20151
0,22901
0,23235
0,22030
0,22407
0,22801
0,20176
0,20109
0,22306
0,22153
0,23602
0,23502
0,22202
0,22192
0,20164
0,23060
0,22602
0,05446
0,98133
0,98226
0,98391
0,98233
0,99403
0,98042
0,98607
0,98208
0,98003
1,98424
0,98332
0,98027
0,99336
0,98033
0,98516
0,98037
1,98036
0,98271
0,99218
0,98373
0,98052
0,98134
0,98382
0,98383
0,99212
0,98409
0,98188
0,98512
0,98903
0,98665
0,98802
0,98072
0,54311
0,53024
0,54913
0,53051
0,53562
0,53151
0,53072
0,53158
0,53590
0,54311
0,53024
0,54913
0,53051
0,53562
0,53151
0,53072
0,53158
0,53590
0,54311
0,53024
0,54913
0,53051
0,53562
0,53151
0,53072
0,53158
0,53590
