,streetaddress,city,state,zipcode,phonenumber,food_court,gas_station,hearing_aid,vision_center,pharmacy,tire_center,business_center,county,iscostco,city_state,county,zipcode trimmed
Alaska_Anchorage,330 W DIMOND BLVD,ANCHORAGE,Alaska,99515-1950,(907) 349-2335,1,1,1,1,1,1,,,1,ANCHORAGE Alaska,Anchorage County,99515
Alaska_Fairbanks,48 COLLEGE RD,FAIRBANKS,Alaska,99701-1706,(907) 205-3607,1,1,1,1,1,1,,,1,FAIRBANKS Alaska,Fairbanks North Star County,99701
Alaska_Juneau,5225 COMMERCIAL BLVD,JUNEAU,Alaska,99801-7210,(907) 780-6740,1,,1,1,1,1,,,1,JUNEAU Alaska,Juneau County,99801
Alaska_NE Anchorage,4125 DEBARR RD,ANCHORAGE,Alaska,99508-3115,(907) 269-9510,1,1,1,1,1,1,,,1,ANCHORAGE Alaska,Anchorage County,99508
Alabama_Hoover,3650 GALLERIA CIR,HOOVER,Alabama,35244-2346,(205) 909-1039,1,1,1,1,1,1,,,1,HOOVER Alabama,Shelby County,35244
Alabama_Huntsville,1205 N. MEMORIAL PKWY,HUNTSVILLE,Alabama,35801-5930,(256) 519-2220,1,1,1,1,1,1,,,1,HUNTSVILLE Alabama,Limestone County,35801
Alabama_Mobile,1450 TINGLE CIRCLE WEST,MOBILE,Alabama,36606-2632,(251) 308-7030,1,1,1,1,1,1,,,1,MOBILE Alabama,Mobile County,36606
Alabama_Montgomery,8251 EASTCHASE PKWY,MONTGOMERY,Alabama,36117-7033,(334) 270-7452,1,1,1,1,1,1,,,1,MONTGOMERY Alabama,Montgomery County,36117
Arkansas_Little Rock,16901 CHENAL PARKWAY,LITTLE ROCK,Arkansas,72223,(501) 817-8603,1,1,1,1,1,1,,,1,LITTLE ROCK Arkansas,Pulaski County,72223
Arizona_Avondale,10000 W MCDOWELL RD,AVONDALE,Arizona,85392-4803,(623) 907-5663,1,1,1,1,1,1,,,1,AVONDALE Arizona,Maricopa County,85392
Arizona_Cave Creek,2450 E BEARDSLEY RD,PHOENIX,Arizona,85050-1300,(480) 375-2850,1,1,1,1,1,1,,,1,PHOENIX Arizona,Maricopa County,85050
Arizona_Chandler,595 S GALLERIA WAY,CHANDLER,Arizona,85226-4932,(480) 375-2051,1,1,1,1,1,1,,,1,CHANDLER Arizona,Maricopa County,85226
Arizona_Gilbert,1415 N ARIZONA AVE,GILBERT,Arizona,85233-1616,(480) 293-0053,1,1,1,1,1,1,,,1,GILBERT Arizona,Maricopa County,85233
Arizona_Glendale,17550 N 79TH AVE,GLENDALE,Arizona,85308-8711,(623) 776-4003,1,1,1,1,1,1,,,1,GLENDALE Arizona,Maricopa County,85308
Arizona_Mesa,1444 S SOSSAMAN RD,MESA,Arizona,85209-3400,(480) 333-6552,1,1,1,1,1,1,,,1,MESA Arizona,Maricopa County,85209
Arizona_N Phoenix,19001 N 27TH AVE,PHOENIX,Arizona,85027-5036,(623) 293-4400,1,1,1,1,1,1,,,1,PHOENIX Arizona,Maricopa County,85027
Arizona_NW Tucson,3901 W COSTCO DR,TUCSON,Arizona,85741-2864,(520) 797-1980,1,1,1,1,1,1,,,1,TUCSON Arizona,Pima County,85741
Arizona_Paradise Valley,4570 E CACTUS RD,PHOENIX,Arizona,85032-7702,(480) 308-7044,1,1,1,1,1,1,,,1,PHOENIX Arizona,Maricopa County,85032
Arizona_Phoenix Business Center,3801 N 33RD AVE,PHOENIX,Arizona,85017-4508,(480) 293-2123,,1,,,,,1,,1,PHOENIX Arizona,Maricopa County,85017
Arizona_Prescott,3911 E STATE ROUTE 69,PRESCOTT,Arizona,86301-6717,(928) 541-2203,1,1,1,1,1,1,,,1,PRESCOTT Arizona,Yavapai County,86301
Arizona_SE Gilbert,2887 S MARKET ST,GILBERT,Arizona,85295-1303,(480) 366-3950,1,1,1,1,1,1,,,1,GILBERT Arizona,Maricopa County,85295
Arizona_SW Tucson,1650 E TUCSON MARKETPLACE BLVD,TUCSON,Arizona,85713-6561,(520) 791-7340,1,1,1,1,1,1,,,1,TUCSON Arizona,Pima County,85713
Arizona_Scottsdale,15255 N HAYDEN RD,SCOTTSDALE,Arizona,85260-2507,(480) 948-5040,1,1,1,1,1,1,,,1,SCOTTSDALE Arizona,Maricopa County,85260
Arizona_Surprise,16385 W. WADDELL RD.,SURPRISE,Arizona,85388,(602) 325-1799,1,1,1,1,1,1,,,1,SURPRISE Arizona,Maricopa County,85388
Arizona_Tempe,1445 W ELLIOT RD,TEMPE,Arizona,85284-1103,(480) 496-6651,1,1,1,1,1,1,,,1,TEMPE Arizona,Maricopa County,85284
Arizona_Thomas Road,4502 E OAK ST,PHOENIX,Arizona,85008-2411,(602) 808-0101,1,1,1,1,1,1,,,1,PHOENIX Arizona,Maricopa County,85008
Arizona_Tucson,6255 EAST GRANT ROAD,TUCSON,Arizona,85712-5834,(520) 886-6377,1,1,1,1,1,1,,,1,TUCSON Arizona,Pima County,85712
California_Alhambra,2207 W COMMONWEALTH AVE,ALHAMBRA,California,91803-1302,(626) 289-7164,1,1,1,1,1,1,,,1,ALHAMBRA California,Los Angeles County,91803
California_Almaden,5301 ALMADEN EXPY,SAN JOSE,California,95118-3603,(408) 723-0964,1,,1,1,1,1,,,1,SAN JOSE California,Santa Clara County,95118
California_Antioch,2201 VERNE ROBERTS CIR,ANTIOCH,California,94509-7911,(925) 757-7130,1,1,1,1,1,1,,,1,ANTIOCH California,Contra Costa County,94509
California_Azusa,1220 W FOOTHILL BLVD,AZUSA,California,91702-2819,(626) 812-7911,1,1,1,1,1,1,,,1,AZUSA California,Los Angeles County,91702
California_Bakersfield,3800 ROSEDALE HWY,BAKERSFIELD,California,93308-6235,(661) 852-2643,1,1,1,1,1,1,,,1,BAKERSFIELD California,Kern County,93308
California_Burbank,1051 W BURBANK BLVD,BURBANK,California,91506-1421,(818) 557-3783,1,1,1,1,1,1,,,1,BURBANK California,Los Angeles County,91506
California_Burbank Business Center,11428 SHERMAN WAY,NORTH HOLLYWOOD,California,91605-5807,(818) 423-7082,1,,,,,,1,,1,NORTH HOLLYWOOD California,#N/A,91605
