tire_center,zipcode_trimmed
1,99515
1,99701
1,99801
1,99508
1,35244
1,35801
1,36606
1,36117
1,72223
1,85392
1,85050
1,85226
1,85233
1,85308
1,85209
1,85027
1,85741
1,85032
0,85017
1,86301
1,85295
1,85713
1,85260
1,85388
1,85284
1,85008
1,85712
1,91803
1,95118
1,94509
1,91702
1,93308
1,91506
0,91605
1,95815
1,92011
1,92128
1,95928
1,91709
1,91911
1,95621
1,91748
1,93612
0,90040
1,94520
1,92879
1,90292
1,90720
1,94526
1,91752
1,94080
1,92243
1,95757
1,95501
1,94534
1,95630
1,92336
1,94404
1,92708
1,94538
1,93722
1,92832
1,92843
1,95020
1,93117
1,95119
1,93230
1,90250
0,90250
1,94545
0,94541
1,92647
1,90303
1,92618
1,90631
1,91942
1,92253
1,92677
1,92677
1,92532
1,90712
1,93534
1,94551
1,95240
1,90039
1,95337
1,95340
1,92108
1,95356
1,91763
1,91755
1,92117
1,92553
1,94043
1,93720
1,95131
1,91324
1,90650
1,94945
0,91761
1,93036
1,91331
1,92211
1,92064
1,95742
1,91730
1,91910
1,96003
1,94063
1,94804
1,94928
1,95678
1,94080
0,94080
1,92102
1,93313
1,95823
0,95821
1,93907
1,92408
0,92111
1,91773
1,94103
1,95112
0,95122
1,92675
1,94577
1,93405
1,92069
0,92078
1,93955
1,95050
1,91387
1,95060
1,93454
1,95407
1,92071
1,90755
1,93065
1,95210
1,94086
1,92591
1,90505
1,95304
1,95380
1,92782
1,92782
1,95482
1,95687
1,94591
1,91411
1,92395
1,93277
1,92081
1,91362
0,92683
1,95776
1,91367
1,92887
1,80002
1,80012
0,80223
1,80124
1,80922
1,81637
1,80138
1,80123
1,80110
1,80027
1,80023
1,80547
1,80918
1,80031
1,06804
1,06333
1,06082
1,06460
1,06053
1,06854
1,6074
1,06705
1,20018
1,19702
1,32714
1,33487
1,34212
1,33511
1,33759
1,33076
1,33324
1,32246
1,32792
1,33913
1,33907
1,33186
1,33462
1,32940
1,33144
1,33014
1,33181
1,34109
0,32837
1,33403
1,33027
1,33064
1,33411
1,32839
1,34238
1,32317
1,32244
1,33625
1,33559
1,30004
1,30909
1,30319
1,30339
1,30041
1,30157
1,30736
1,30096
1,30519
0,30260
1,30328
1,31322
1,30277
1,30144
1,30188
1,96825
1,96817
1,96707
1,96766
1,96740
1,96732
1,96797
1,52241
1,52807
1,50266
1,83709
1,83815
1,83401
1,83646
1,83687
1,83201
1,83301
0,60629
1,60108
1,60440
1,61820
1,60608
1,61611
1,60026
1,60156
1,60047
1,60614
1,61111
1,60160
1,60045
1,60056
1,60563
1,60564
1,60714
1,60546
1,60523
1,60467
1,60586
1,60173
1,60174
1,46123
1,46250
1,47715
1,46808
1,46268
1,46410
1,46530
1,46237
1,66215
1,66213
1,67207
1,41042
1,40509
1,40218
1,40241
1,70809
1,70508
1,70118
1,02322
1,01923
1,02026
1,02149
1,02451
1,01089
1,21076
1,20705
1,20613
1,21075
1,21704
1,20879
1,21060
1,21117
1,20902
1,21220
1,20706
1,21076
1,20705
1,20613
1,21075
1,21704
1,20879
1,21060
1,21117
1,20902
1,21220
1,20706
1,48326
1,48302
1,48390
1,48823
1,49512
1,48116
1,48152
1,49006
1,48315
1,48071
1,48150
1,48642
1,48108
1,48066
1,49686
1,49418
1,56425
1,55337
1,55448
1,55811
1,55121
1,55344
1,55369
1,55109
0,55413
1,55901
1,56301
1,55416
1,55125
1,64055
1,64111
1,63011
1,64155
1,63128
1,65802
1,63376
1,39157
1,59102
1,59718
1,59602
1,59901
1,59808
1,27523
1,28217
1,27705
1,27603
1,27407
1,28105
1,28117
1,27609
1,28405
1,27103
1,58503
1,58078
1,68128
1,68512
1,68154
1,03060
1,7002
1,08723
1,08807
1,08002
1,07014
1,07936
1,08817
1,08822
0,07601
1,07730
1,08050
1,07751
1,08054
1,08902
1,07060
1,07712
1,08648
1,07608
1,07083
1,07470
1,07885
1,87107
1,87114
1,87123
1,89705
1,89131
1,89014
0,89106
1,89502
1,89052
1,89436
1,89144
0,11232
1,11725
1,11741
1,11559
0,10035
1,11747
1,10954
1,11767
1,10805
1,11572
1,10573
1,11106
0,11374
1,11901
1,14620
1,10314
1,13031
1,11590
1,10710
1,44011
1,44236
1,45440
1,43240
1,45249
1,43219
1,44124
1,43064
1,43551
1,45246
1,44136
1,43606
1,73160
1,73114
1,74133
1,97322
1,97006
1,97701
1,97502
1,97015
1,97408
1,97124
1,97230
1,97470
0,97301
1,97223
1,97146
1,97070
1,18106
1,18974
1,19342
1,16066
1,17112
1,15120
1,19406
1,17601
1,19454
1,15205
1,19464
1,00725
1,00924
1,959
1,961
1,00725
1,00924
1,959
1,961
1,29414
1,29210
1,29607
1,29466
1,29577
1,29301
1,57105
1,37027
1,37934
1,37128
1,38016
1,38125
1,37209
1,76014
1,78759
1,77055
1,78613
1,77433
1,75251
0,75231
1,75137
1,75074
1,79925
1,76132
1,75033
1,77027
1,77338
1,75067
1,79407
1,75071
1,76177
1,78249
1,77584
1,78660
1,78577
1,75032
1,78749
1,78154
1,78232
1,76092
0,77477
1,77479
1,77494
1,75093
1,78245
1,77598
1,77064
1,77385
1,84010
1,84043
1,84107
1,84097
0,84096
1,84115
1,84070
1,84045
1,84095
1,84405
1,84660
1,84790
1,84119
1,20151
1,22901
1,23235
1,22030
1,22407
1,22801
1,20176
1,20109
1,22306
1,22153
1,23602
1,23502
1,22202
1,22192
1,20164
1,23060
1,22602
1,05446
1,98133
1,98226
1,98391
1,98233
1,99403
1,98042
1,98607
1,98208
1,98003
0,98424
1,98332
1,98027
1,99336
1,98033
1,98516
1,98037
0,98036
1,98271
1,99218
1,98373
1,98052
1,98134
1,98382
1,98383
1,99212
1,98409
1,98188
1,98512
1,98903
1,98665
1,98802
1,98072
1,54311
1,53024
1,54913
1,53051
1,53562
1,53151
1,53072
1,53158
1,53590
1,54311
1,53024
1,54913
1,53051
1,53562
1,53151
1,53072
1,53158
1,53590
1,54311
1,53024
1,54913
1,53051
1,53562
1,53151
1,53072
1,53158
1,53590
