Car/truck/van,Car_pct,Worked At Home,WFH_pct,Year,ucgid,State
1835719,0.415832928,44526,0.010086172,2004,0400000US01,Alabama
1846126,0.415039314,39469,0.008873277,2005,0400000US01,Alabama
1855476,0.403449422,51746,0.011251503,2006,0400000US01,Alabama
1884914,0.4072979,54254,0.011723368,2007,0400000US01,Alabama
1940821,0.41631545,46153,0.009900041,2008,0400000US01,Alabama
1862363,0.39551465,47604,0.01010978,2009,0400000US01,Alabama
1845291,0.385616736,51968,0.01085993,2010,0400000US01,Alabama
1844517,0.384055143,51389,0.010699934,2011,0400000US01,Alabama
1878138,0.389491713,46971,0.009740932,2012,0400000US01,Alabama
1878390,0.388601164,51456,0.010645213,2013,0400000US01,Alabama
1897356,0.39125768,56033,0.01155468,2014,0400000US01,Alabama
1906401,0.392346004,61369,0.01263002,2015,0400000US01,Alabama
1934593,0.397794295,69862,0.014365143,2016,0400000US01,Alabama
1914247,0.39268643,64692,0.013270843,2017,0400000US01,Alabama
1948480,0.398635724,71262,0.014579354,2018,0400000US01,Alabama
2008194,0.409569289,66803,0.013624409,2019,0400000US01,Alabama
243550,0.382962518,13859,0.021792148,2004,0400000US02,Alaska
255663,0.388544402,11088,0.016851013,2005,0400000US02,Alaska
258435,0.385693357,15984,0.023854829,2006,0400000US02,Alaska
265973,0.38914638,18849,0.027578064,2007,0400000US02,Alaska
276168,0.402405368,21544,0.03139184,2008,0400000US02,Alaska
271099,0.388130953,15409,0.022060982,2009,0400000US02,Alaska
275677,0.386110339,17384,0.02434785,2010,0400000US02,Alaska
284610,0.39380504,16958,0.0234642,2011,0400000US02,Alaska
284244,0.388603977,17727,0.024235456,2012,0400000US02,Alaska
292627,0.398060474,14389,0.019573356,2013,0400000US02,Alaska
291846,0.396135899,13135,0.017828736,2014,0400000US02,Alaska
292588,0.396228755,15330,0.020760205,2015,0400000US02,Alaska
289311,0.389962705,17328,0.023356436,2016,0400000US02,Alaska
280852,0.379634886,18898,0.025544914,2017,0400000US02,Alaska
285527,0.38718779,19386,0.026288312,2018,0400000US02,Alaska
286932,0.392227399,13330,0.018221709,2019,0400000US02,Alaska
2195828,0.389445483,92132,0.016340256,2004,0400000US04,Arizona
2321648,0.399852158,104310,0.017965074,2005,0400000US04,Arizona
2423368,0.393000814,124514,0.020192601,2006,0400000US04,Arizona
2439706,0.384887252,136647,0.021557388,2007,0400000US04,Arizona
2569520,0.395299821,139521,0.021464175,2008,0400000US04,Arizona
2415057,0.366151952,141373,0.021433863,2009,0400000US04,Arizona
2306365,0.359597687,152526,0.023781144,2010,0400000US04,Arizona
2313105,0.356822708,148682,0.022935887,2011,0400000US04,Arizona
2381806,0.363453885,149356,0.022791117,2012,0400000US04,Arizona
2408118,0.363400427,150902,0.022772078,2013,0400000US04,Arizona
2465070,0.366200082,166242,0.024696189,2014,0400000US04,Arizona
2542699,0.372389395,160023,0.023436069,2015,0400000US04,Arizona
2611375,0.376763561,186485,0.026905654,2016,0400000US04,Arizona
2703883,0.385373281,194378,0.027703894,2017,0400000US04,Arizona
2768617,0.386050425,215077,0.029989907,2018,0400000US04,Arizona
2827194,0.388419276,247397,0.033989095,2019,0400000US04,Arizona
1109112,0.415651189,27844,0.010434827,2004,0400000US05,Arkansas
1126121,0.417907604,32231,0.011961042,2005,0400000US05,Arkansas
1138937,0.405189918,38375,0.013652347,2006,0400000US05,Arkansas
1120175,0.395151749,46260,0.016318629,2007,0400000US05,Arkansas
1162584,0.407154187,39977,0.014000539,2008,0400000US05,Arkansas
1136183,0.393217738,43084,0.014910796,2009,0400000US05,Arkansas
1137369,0.389295817,37268,0.012755998,2010,0400000US05,Arkansas
1129840,0.384563673,40224,0.013691044,2011,0400000US05,Arkansas
