City,State,State_full,Type,Counties,Population,Latitude,Longitude,County_State,,,abbv,State
New York,NY,New York,City,Bronx,8804190,40.714,-74.007,Bronx County New York,,,AL,Alabama
Los Angeles,CA,California,City,Los Angeles,3898747,34.052,-118.243,Los Angeles County California,,,AK,Alaska
Chicago,IL,Illinois,City,Cook,2746388,41.882,-87.628,Cook County Illinois,,,AZ,Arizona
Houston,TX,Texas,City,Harris,2304580,29.76,-95.363,Harris County Texas,,,AR,Arkansas
Phoenix,AZ,Arizona,City,Maricopa,1608139,33.448,-112.074,Maricopa County Arizona,,,CA,California
Philadelphia,PA,Pennsylvania,City,Philadelphia,1603797,39.952,-75.164,Philadelphia County Pennsylvania,,,CO,Colorado
San Antonio,TX,Texas,City,Bexar,1434625,29.423,-98.49,Bexar County Texas,,,CT,Connecticut
San Diego,CA,California,City,San Diego,1386932,32.716,-117.165,San Diego County California,,,DE,Delaware
Dallas,TX,Texas,City,Rockwall,1304379,32.781,-96.797,Rockwall County Texas,,,FL,Florida
San Jose,CA,California,City,Santa Clara,1013240,37.336,-121.891,Santa Clara County California,,,GA,Georgia
Austin,TX,Texas,City,Williamson,961855,30.268,-97.743,Williamson County Texas,,,HI,Hawaii
Jacksonville,FL,Florida,City,Duval,949611,30.328,-81.657,Duval County Florida,,,ID,Idaho
Fort Worth,TX,Texas,City,Wise,918915,32.754,-97.331,Wise County Texas,,,IL,Illinois
Columbus,OH,Ohio,City,Delaware,905748,39.962,-83.001,Delaware County Ohio,,,IN,Indiana
Indianapolis,IN,Indiana,City,Marion,887642,39.769,-86.158,Marion County Indiana,,,IA,Iowa
Charlotte,NC,North Carolina,City,Mecklenburg,874579,35.227,-80.843,Mecklenburg County North Carolina,,,KS,Kansas
San Francisco,CA,California,City,San Francisco,873965,37.78,-122.414,San Francisco County California,,,KY,Kentucky
Seattle,WA,Washington,City,King,737015,47.607,-122.338,King County Washington,,,LA,Louisiana
Denver,CO,Colorado,City,Denver,715522,39.739,-104.987,Denver County Colorado,,,ME,Maine
Washington,DC,#N/A,City,District of Columbia,689545,38.895,-77.036,#N/A,,,MD,Maryland
Nashville,TN,Tennessee,Metro Government,Davidson,689447,36.164,-86.783,Davidson County Tennessee,,,MA,Massachusetts
Oklahoma City,OK,Oklahoma,City,Canadian,681054,35.468,-97.516,Canadian County Oklahoma,,,MI,Michigan
El Paso,TX,Texas,City,El Paso,678815,31.76,-106.488,El Paso County Texas,,,MN,Minnesota
Boston,MA,Massachusetts,City,Suffolk,675647,42.359,-71.057,Suffolk County Massachusetts,,,MS,Mississippi
Portland,OR,Oregon,City,Multnomah,652503,45.519,-122.679,Multnomah County Oregon,,,MO,Missouri
Las Vegas,NV,Nevada,City,Clark,641903,36.171,-115.144,Clark County Nevada,,,MT,Montana
Detroit,MI,Michigan,City,Wayne,639111,42.332,-83.047,Wayne County Michigan,,,NE,Nebraska
Memphis,TN,Tennessee,City,Shelby,633104,35.146,-90.052,Shelby County Tennessee,,,NV,Nevada
Louisville,KY,Kentucky,Metro Government,Jefferson,633045,38.257,-85.757,Jefferson County Kentucky,,,NH,New Hampshire
Baltimore,MD,Maryland,City,Baltimore City,585708,39.289,-76.615,Baltimore City County Maryland,,,NJ,New Jersey
Milwaukee,WI,Wisconsin,City,Milwaukee,577222,43.042,-87.905,Milwaukee County Wisconsin,,,NM,New Mexico
Albuquerque,NM,New Mexico,City,Bernalillo,564559,35.084,-106.652,Bernalillo County New Mexico,,,NY,New York
Tucson,AZ,Arizona,City,Pima,542629,32.222,-110.973,Pima County Arizona,,,NC,North Carolina
Fresno,CA,California,City,Fresno,542107,36.737,-119.789,Fresno County California,,,ND,North Dakota
Sacramento,CA,California,City,Sacramento,524943,38.577,-121.496,Sacramento County California,,,OH,Ohio
Kansas City,MO,Missouri,City,Clay,508090,39.104,-94.583,Clay County Missouri,,,OK,Oklahoma
Mesa,AZ,Arizona,City,Maricopa,504258,33.415,-111.831,Maricopa County Arizona,,,OR,Oregon
